Κωδικός Τμήματος,Σχολή,link,Πόλη,Πεδία,Εισακτέοι,Βάση 2025,"Συντελεστής Ε.Β.Ε,",Ε.Β.Ε.,Συντελεστής Ε.Β.Ε. Ειδικών μαθημάτων,Ε.Β.Ε. Ειδικών μαθημάτων
101,"Θεολογίας, ΕΚΠΑ",http://www.uoa.gr/,Αθήνα,I,175,9130,0.80,09.04,,
102,"Φιλοσοφίας, Πατρών",http://www.upatras.gr/,Πάτρα,I,155,9360,0.80,09.04,,
103,"Θεολογίας, ΑΠΘ",http://www.auth.gr/,Θεσσαλονίκη,I,135,9050,0.80,09.04,,
104,"Ιστορίας, Αρχαιολογίας & Διαχείρισης Πολιτισμικών Αγαθών, Πελοποννήσου",http://www.uop.gr/,Καλαμάτα,I,99,8760,0.80,09.04,,
105,"Κοινωνικής Θεολογίας & Θρησκειολογίας, ΕΚΠΑ",http://www.uoa.gr/,Αθήνα,I,175,8860,0.80,09.04,,
107,"Κοινωνικής Θεολογίας & Χριστιανικού Πολιτισμού, ΑΠΘ",http://www.auth.gr/,Θεσσαλονίκη,I,135,8940,0.80,09.04,,
109,"Φιλολογίας, ΕΚΠΑ",http://www.uoa.gr/,Αθήνα,I,279,11304,1.00,11.29,,
110,"Ιστορίας & Αρχαιολογίας, ΕΚΠΑ",http://www.uoa.gr/,Αθήνα,I,191,11838,1.05,11.86,,
111,"Φιλολογίας, ΑΠΘ",http://www.auth.gr/,Θεσσαλονίκη,I,175,11127,1.00,11.29,,
112,"Ιστορίας & Αρχαιολογίας, ΑΠΘ",http://www.auth.gr/,Θεσσαλονίκη,I,144,12425,1.10,12.42,,
113,"Φιλολογίας, Ιωαννίνων",http://www.uoi.gr/,Ιωάννινα,I,220,9451,0.85,09.60,,
114,"Ιστορίας & Αρχαιολογίας, Ιωαννίνων",http://www.uoi.gr/,Ιωάννινα,I,198,9433,0.85,09.60,,
115,"Φιλολογίας, Κρήτης",http://www.uoc.gr/,Ρέθυμνο,I,180,9134,0.80,09.04,,
116,"Ιστορίας & Αρχαιολογίας, Κρήτης",http://www.uoc.gr/,Ρέθυμνο,I,135,9050,0.80,09.04,,
117,"Νομικής, ΕΚΠΑ",http://www.uoa.gr/,Αθήνα,I,360,17875,1.20,13.55,,
119,"Νομικής, ΑΠΘ",http://www.auth.gr/,Θεσσαλονίκη,I,333,17280,1.20,13.55,,
120,"Φιλοσοφίας & Παιδαγωγικής, ΑΠΘ",http://www.auth.gr/,Θεσσαλονίκη,I,135,11580,0.80,09.04,,
121,"Νομικής, ΔΠΘ",http://www.duth.gr/,Κομοτηνή,I,455,16725,1.20,13.55,,
122,"Φιλοσοφίας, Ιωαννίνων",http://www.uoi.gr/,Ιωάννινα,I,216,9180,0.80,09.04,,
