ΚΩΔ. ΣΧΟΛΗΣ,ΟΝΟΜΑ ΣΧΟΛΗΣ,ΝΕΟΕΛΛΗΝΙΚΗ ΓΛΩΣΣΑ ΚΑΙ ΛΟΓΟΤΕΧΝΙΑ,ΜΑΘΗΜΑΤΙΚΑ,ΠΛΗΡΟΦΟΡΙΚΗ,ΟΙΚΟΝΟΜΙΑ
818,ΣΧΟΛΗ ΜΗΧΑΝΙΚΏΝ,25%,25%,25%,25%
817,ΣΧΟΛΗ ΠΛΟΙΑΡΧΩΝ,25%,25%,25%,25%
403,ΕΠΙΣΤΗΜΗΣ ΦΥΣΙΚΗΣ ΑΓΏΓΗΣ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ {ΘΕΣΣΑΛΟΝΙΚΗ),30%,25%,20%,25%
402,ΕΠΙΣΤΗΜΗΣ ΦΥΣΙΚΗΣ ΑΓΏΓΗΣ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ {ΣΕΡΡΕΣ),30%,25%,20%,25%
134,ΕΠΙΣΤΗΜΏΝ ΠΡΟΣΧΟΛΙΚΗΣ ΑΓΏΓΗΣ ΚΑΙ ΕΚlΑΙΔΕΥΣΗΣ {ΘΕΣΣΑΛΟΝΙΚΗ),25%,25%,25%,25%
168,ΘΕΑΤΡΟΥ {ΘΕΣΣΑΛΟΝΙΚΗ),25%,25%,25%,25%
163,ΚΙΝΗΜΑΤΟΓΡΑΦΟΥ (ΘΕΣΣΑΛΟΝΙΚΗ),25%,25%,25%,25%
406,ΜΟΥΣΙΚΩΝ ΣΠΟΥΔΩΝ (ΘΕΣΣΑΛΟΝΙΚΗ),25%,,20%,
311,ΟΙΚΟΝΟΜΙΚΩΝ ΕΠΙΣΤΗΜΩΝ (ΘΕΣΣΑΛΟΝΙΚΗ) - ΑΠΘ,30%,30%,20%,20%
140,ΠΑΙΔΑΓΩΓΙΚΟ ΔΗΜΟΤΙΚΗΣ ΕΚΠΑΙΔΕΥΣΗΣ (ΘΕΣΣΑΛΟΝΙΚΗ),25%,25%,25%,25%
338,ΠΛΗΡΟΦΟΡΙΚΗΣ (ΘΕΣΣΑΛΟΝΙΚΗ),20%,30%,30%,20%
872,ΑΞΙΩΜΑΤΙΚΩΝ ΕΛΛΗΝΙΚΗΣ ΑΣΤΥΝΟΜΙΑΣ (ΜΟΝΟ ΓΙΑ ΑΣΤΥΝΟΜΙΚΟΥΣ),30%,30%,20%,20%
869,ΑΞΙΩΜΑΤΙΚΩΝ ΕΛΛΗΝΙΚΗΣ ΑΣΤΥΝΟΜΙΑΣ (ΜΟΝΟ ΓΙΑ ΠΟΛΙΤΕΣ),30%,30%,20%,20%
870,ΑΣΤΥΦΥΛΑΚΩΝ (ΜΟΝΟ ΓΙΑ ΠΟΛΙΤΕΣ),30%,30%,20%,20%
614,ΑΝΩΤΕΡΗ ΣΧΟΛΗ ΤΟΥΡΙΣΤΙΚΗΣ ΕΚΠΑΙΔΕΥΣΗΣ ΚΡΗΤΗΣ (ΑΣΤΕΚ),22%,22%,28%,28%
613,ΑΝΩΤΕΡΗ ΣΧΟΛΗ ΤΟΥΡΙΣΤΙΚΗΣ ΕΚΠΑΙΔΕΥΣΗΣ ΡΟΔΟΥ (ΑΣΤΕΡ),22%,22%,28%,28%
326,ΑΓΡΟΤΙΚΗΣ ΟΙΚΟΝΟΜΙΑΣ ΚΑΙ ΑΝΑΠΤΥΞΗΣ (ΑΘΗ ΝΑ),20%,30%,20%,30%
1063,ΔΙΟΙΚΗΣΗΣ ΓΕΩΡΓΙΚΩΝ ΕΠΙΧΕΙΡΗΣΕΩΝ ΚΑΙ ΣΥΣΤΗΜΑΤΩΝ ΕΦΟΔΙΑΣΜΟΥ (ΘΗΒΑ),20%,25%,25%,30%
1064,ΠΕΡΙΦΕΡΕΙΑΚΗΣ ΚΑ ΟΙΚΟΝΟΜΙΚΗΣ ΑΝΑΠΤΥΞΗΣ (ΑΜΦΙΣΣΑ),20%,40%,20%,20%
1610,ΑΓΩΓΗΣ ΚΑΙ ΦΡΟΝΤΙΔΑΣ ΣΤΗΝ ΠΡΩΙΜΗ ΠΑΙΔΙΚΗ ΗΛΙΚΙΑ (ΘΕΣΣΑΛΟΝΙΚΗ),25%,25%,25%,25%
1609,"ΒΙΒΛΙΟΘΗΚΟΝΟΜΙΑΣ, ΑΡΧΕΙΟΝΟΜΙΑΣ ΚΑΙ ΣΥΣΤΗΜΑΤΩΝ ΠΛΗΡΟΦΟΡΗΣΗΣ (ΘΕΣΣΑΛΟΝΙΚΗ)",25%,25%,25%,25%
1627,ΔΗΜΙΟΥΡΓΙΚΟΥ ΣΧΕΔΙΑΣΜΟΥ ΚΑΙ ΕΝΔΥΣΗΣ (ΚΙΛΚΙΣ),25%,25%,25%,25%
1603,ΔΙΟΙΚΗΣΗΣ ΕΦΟΔΙΑΣΤΙΚΗΣ ΑΛΥΣΙΔΑΣ (ΚΑΤΕΡΙΝΗ),20%,20%,30%,30%
1605,"ΔΙΟΙΚΗΣΗΣ ΟΡΓΑΝΙΣΜΩΝ, ΜΑΡΚΕΤΙΝΓΚ ΚΑΙ ΤΟΥΡΙΣΜΟΥ (ΘΕΣΣΑΛΟΝΙΚΗ)",20%,20%,30%,30%
1626,ΕΣΩΤΕΡΙΚΗΣ ΑΡΧΙΤΕΚΤΟΝΙΚΗΣ (ΣΕΡΡΕΣ),25%,25%,25%,25%
1606,ΛΟΓΙΣΤΙΚΗΣ ΚΑΙ ΠΛΗΡΟΦΟΡΙΑΚΩΝ ΣΥΣΤΗΜΑΤΩΝ (ΘΕΣΣΑΛΟΝΙΚΗ),20%,20%,30%,30%
1624,ΜΗΧΑΝΙΚΩΝ ΠΑΡΑΓΩΓΗΣ ΚΑΙ ΔΙΟΙΚΗΣΗΣ (ΘΕΣΣΑΛΟΝΙΚΗ),20%,25%,30%,25%
1625,ΜΗΧΑΝΙΚΩΝ ΠΛΗΡΟΦΟΡΙΚΗΣ ΚΑΙ ΗΛΕΚΤΡΟΝΙΚΩΝ ΣΥΣΤΗΜΑΤΩΝ (ΘΕΣΣΑΛΟΝΙΚΗ),25%,30%,25%,20%
1622,"ΜΗΧΑΝΙΚΩΝ ΠΛΗΡΟΦΟΡΙΚΗΣ, ΥΠΟΛΟΓΙΣΤΩΝ ΚΑΙ ΤΗΛΕΠΙΚΟΙΝΩΝΙΩΝ (ΣΕΡΡΕΣ)",20%,30%,30%,20%
1602,ΟΙΚΟΝΟΜΙΚΏΝ ΕΠΙΣΤΗΜΏΝ (ΣΕΡΡΕΣ),20%,25%,20%,35%
1601,ΟΡΓΜΏΣΗΣ ΚΑΙ ΔΙΟΙΚΗΣΗΣ ΕΠΙΧΕΙΡΗΣΕΏΝ {ΣΕΡΡΕΣ),25%,25%,25%,25%
353,ΑΓΡΟΤΙΚΗΣ ΑΝΑΠΤΥΞΗΣ (ΟΡΕΣΤΙΑΔΑ),25%,25%,25%,25%
1669,ΑΝΘΡΩΠΙΣΤΙΚΏΝ ΣΠΟΥΔΏΝ (ΚΟΜΟΤΗΝΗ),25%,25%,25%,25%
212,"ΔΑΣΟΛΟΓΙΑΣ ΚΑΙ ΔΙΑΧΕΙΡΙΣΗΣ ΠΕΡIΒΑΛΛΟΝΤΟΣ ΚΑΙ ΦΥΣΙΚΏΝ ΠΟΡΏΙ"" {ΟΡΕΣΤΙΑΔΑ)",20%,20%,25%,35%
1607,ΔΙΟΙΚΗΤΙΚΗΣ ΕΠΙΣΤΗΜΗΣ ΚΑΙ ΤΕΧΝΟΛΟΓΙΑΣ {ΚΑΒΑΛΑ),20%,20%,30%,30%
404,ΕΠΙΣΤΗΜΗΣ ΦΥΣΙΚΗΣ ΑΓΏΓΗΣ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ {ΚΟΜΟΤΗΝΗ),30%,25%,25%,20%
